Table Name,Field Name,Field Type,Description,Example,Include,Tags,Transformation,Target Deployment,Flag,Table Reference,Field Reference,Is Primary?,Unique,Risk Status,Risk Type,Transformation1,Change Notes
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,STANDARD_EVENT_TYPE_CODE,VARCHAR 50,The Mayo standard code of the EVENT_TYPE,(No data),No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,STANDARD_EVENT_TYPE_DESCRIPTION,VARCHAR 255,The description of the Mayo standard EVENT_TYPE,(No data),No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_DISCHARGE_TRANSFER_EVENT_TYPE,STANDARD_EVENT_TYPE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ADMIT_DISCHARGE_TRASFER_EVENT_TYPE table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION,(Key value),Yes,,,Q1 2020,,,,,,Moderate,Semantics,No change,
DIM_ADMIT_MODE,ADMIT_MODE_CODE,VARCHAR 50,The code identifying the admit mode of the ADT event,604647,No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_MODE,ADMIT_MODE_DESCRIPTION,VARCHAR 255,The description of the admit mode,Ambulance,No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_MODE,ADMIT_MODE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ADMIT_MODE table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION table to establish this relationship,(Key value),Yes,,,Q1 2020,,DIM_ADMIT_MODE,,PRIMARY,Yes,Moderate,"Semantics, Geography",No change,
DIM_ADMIT_MODE,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_MODE,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_MODE,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_MODE,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_MODE,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_MODE,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_MODE,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_MODE,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_MODE,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ADMIT_MODE,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_MODE,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_MODE,STANDARD_ADMIT_MODE_CODE,VARCHAR 50,The code identifying the Mayo standard admit mode of the ADT event,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ADMIT_MODE,STANDARD_ADMIT_MODE_DESCRIPTION,VARCHAR 255,The description of the Mayo standard admit mode,(No data),No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_MODE,STANDARD_ADMIT_MODE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ADMIT_MODE table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION table to establish this relationship,(Key value),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ADMIT_SOURCE,ADMIT_SOURCE_CODE,VARCHAR 50,The code identifying the admit source of the ADT event,4,No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_SOURCE,ADMIT_SOURCE_DESCRIPTION,VARCHAR 255,The description of the admit source,Transfer from another hospital,Yes,,INCLUSIONLIST,Q1 2020,,,,,,Moderate,Semantics,Inclusion list,
DIM_ADMIT_SOURCE,ADMIT_SOURCE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ADMIT_SOURCE table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION table to establish,(Key value),Yes,,,Q1 2020,,DIM_ADMIT_SOURCE,,PRIMARY,Yes,Moderate,Semantics,No change,
DIM_ADMIT_SOURCE,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_SOURCE,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_SOURCE,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_SOURCE,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_SOURCE,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_SOURCE,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_SOURCE,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_SOURCE,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_SOURCE,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ADMIT_SOURCE,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_SOURCE,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_SOURCE,STANDARD_ADMIT_SOURCE_CODE,VARCHAR 50,The code identifying the Mayo standard admit source of the ADT event,(No data),No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_SOURCE,STANDARD_ADMIT_SOURCE_DESCRIPTION,VARCHAR 255,The description of the Mayo standard admit source,(No data),Yes,,INCLUSIONLIST,Q1 2020,,,,,,Moderate,Semantics,Inclusion list,
DIM_ADMIT_SOURCE,STANDARD_ADMIT_SOURCE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ADMIT_SOURCE table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION table to establish,(Key value),Yes,,,Q1 2020,,,,,,Moderate,Semantics,No change,
DIM_ADMIT_TYPE,ADMIT_TYPE_CODE,VARCHAR 50,The code identifying the admit type of the ADT event,E,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ADMIT_TYPE,ADMIT_TYPE_DESCRIPTION,VARCHAR 255,The description of the admit type,EMERGENCY,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ADMIT_TYPE,ADMIT_TYPE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ADMIT_TYPE table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION table to establish this relationship,(Key value),Yes,,,Q1 2020,,DIM_ADMIT_TYPE,,PRIMARY,Yes,Low,-,No change,
DIM_ADMIT_TYPE,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_TYPE,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_TYPE,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_TYPE,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ADMIT_TYPE,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_TYPE,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_TYPE,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_TYPE,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_TYPE,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ADMIT_TYPE,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ADMIT_TYPE,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q1 2020,,,,,,,,,
DIM_ADMIT_TYPE,STANDARD_ADMIT_TYPE_CODE,VARCHAR 50,The code identifying the Mayo standard admit type of the ADT event,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ADMIT_TYPE,STANDARD_ADMIT_TYPE_DESCRIPTION,VARCHAR 255,The description of the Mayo standard admit type,(No data),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ADMIT_TYPE,STANDARD_ADMIT_TYPE_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ADMIT_TYPE table. This value is also used in the FACT_ADMIT_DISCHARGE_TRANSFER_LOCATION table to establish this relationship,(Key value),Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ALLERGY_CATEGORY,ALLERGY_CATEGORY_CODE,VARCHAR 50,Code assigned to allergy category,4039096,Yes,,,Q2-Q4 2020,,,,,,Low,-,No change,
DIM_ALLERGY_CATEGORY,ALLERGY_CATEGORY_DESCRIPTION,VARCHAR 255,Description of allergy category,bite/sting,Yes,,,Q2-Q4 2020,,,,,,Low,-,No change,
DIM_ALLERGY_CATEGORY,ALLERGY_CATEGORY_DK,INTEGER 4,Unique Identifier used as a primary key which contains a value that identifies a specific row within the DIM_ALLERGY_CATEGORY table. This value is also used in the FACT_ALLERGIES table to establish this relationship,(Key value),Yes,,,Q2-Q4 2020,,DIM_ALLERGY_CATEGORY,,PRIMARY,Yes,Low,-,No change,
DIM_ALLERGY_CATEGORY,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_CATEGORY,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_CATEGORY,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_CATEGORY,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_CATEGORY,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_CATEGORY,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_CATEGORY,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_CATEGORY,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_CATEGORY,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ALLERGY_CATEGORY,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_CATEGORY,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_NAME,ALLERGY_DESCRIPTION,VARCHAR 255,Description of allergy,FUROSEMIDE,Yes,,,Q2-Q4 2020,,,,,,Low,-,No change,
DIM_ALLERGY_NAME,ALLERGY_NAME,VARCHAR 50,Name of Allergy,FUROSEMIDE,Yes,,,Q2-Q4 2020,,,,,,Low,-,No change,
DIM_ALLERGY_NAME,ALLERGY_NAME_DK,INTEGER 4,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ALLERGY_NAME table. This value is also used in the FACT_ALLERGIES table to establish this relationship,(Key value),Yes,,,Q2-Q4 2020,,DIM_ALLERGY_NAME,,PRIMARY,Yes,Low,-,No change,
DIM_ALLERGY_NAME,ALLERGY_SUBTYPE_CODE,VARCHAR 15,Sub type of allergy,FDB,Yes,,,Q2-Q4 2020,,,,,,Low,-,No change,
DIM_ALLERGY_NAME,ALLERGY_TYPE_CODE,VARCHAR 15,The type of allegery this is,Medication,Yes,,,Q2-Q4 2020,,,,,,Low,-,No change,
DIM_ALLERGY_NAME,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_NAME,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_NAME,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_NAME,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_NAME,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_NAME,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_NAME,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_NAME,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_NAME,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ALLERGY_NAME,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_NAME,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_STATUS,ALLERGY_STATUS_CODE,VARCHAR 50,Code of allergy status,4219,Yes,,,Q2-Q4 2020,,,,,,Low,-,No change,
DIM_ALLERGY_STATUS,ALLERGY_STATUS_DESCRIPTION,VARCHAR 100,Description of allergy status,Suspended,Yes,,,Q2-Q4 2020,,,,,,Low,-,No change,
DIM_ALLERGY_STATUS,ALLERGY_STATUS_DK,BIGINT 8,Unique Identifier used as a primary key which contains a value that identifies a specific row within the DIM_ALLERGY_STATUS table. This value is also used in the FACT_ALLERGIES table to establish this relationship,(Key value),Yes,,,Q2-Q4 2020,,DIM_ALLERGY_STATUS,,PRIMARY,Yes,Low,-,No change,
DIM_ALLERGY_STATUS,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_STATUS,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_STATUS,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_STATUS,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ALLERGY_STATUS,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_STATUS,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_STATUS,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_STATUS,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_STATUS,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ALLERGY_STATUS,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q2-Q4 2020,,,,,,,,,
DIM_ALLERGY_STATUS,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q2-Q4 2020,,,,,,,,,
DIM_ANATOMIC_LOCATION,ANATOMIC_LOCATION_CODE,VARCHAR 50,Code value designating where in the body the sample was taken,30.15,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ANATOMIC_LOCATION,ANATOMIC_LOCATION_DESCRIPTION,VARCHAR 255,Description of the code value designating where in the body the sample was taken,RIGHT UPPER (SUPERIOR) LOBE LUNG,Yes,,,Q1 2020,,,,,,Low,-,No change,
DIM_ANATOMIC_LOCATION,ANATOMIC_LOCATION_DK,BIGINT 8,Unique identifier used as a primary key which contains a value that identifies a specific row within the DIM_ANATOMIC_LOCATION table. This value is also used in multiple FACT tables to establish the relationship between those Fact tables and DIM_ANATOMIC_LOCATION,(Key value),Yes,,,Q1 2020,,DIM_ANATOMIC_LOCATION,,PRIMARY,Yes,Low,-,No change,
DIM_ANATOMIC_LOCATION,DEID_DTM,TIMESTAMP 10,Date and time the DEID software processed the first record in the file,2021-09-04 21:36:51,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ANATOMIC_LOCATION,DEID_VERSION,VARCHAR 30,DEID Software version which process this file,v1.8.3,Yes,,,Q2-Q4 2021,SYNTHETIC,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ANATOMIC_LOCATION,EXTRACT_DTM,TIMESTAMP 10,Date and time the table was extracted from the source in the data files,2021-07-26 21:36:51,Yes,,,Q2-Q4 2021,,,,,,,,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ANATOMIC_LOCATION,EXTRACT_SOURCE,VARCHAR 30,Source of the table from where the data was extract,UDP:EDT4P:EDTWH,Yes,,,Q2-Q4 2021,,,,,,Low,-,No change,"8/31 New field to track version, run date, data cohort, etc."
DIM_ANATOMIC_LOCATION,ROW_CURRENT_INDICATOR,CHARACTER 1,A Y/N flag indicating whether the row in an EDT table is the most current version of the information for the related business entity instance,Y,Ignore,,,Q1 2020,,,,,,,,,
DIM_ANATOMIC_LOCATION,ROW_FROM_DTM,TIMESTAMP 10,Date and time the EDT record first became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ANATOMIC_LOCATION,ROW_ITERATION_NUMBER,INTEGER 4,Reference to the ETL Iteration Table that provides information on row creation,(N/A),Ignore,,,Q1 2020,,,,,,,,,
DIM_ANATOMIC_LOCATION,ROW_LOADED_DTM,TIMESTAMP 10,Date and time the ETL job loaded this record,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ANATOMIC_LOCATION,ROW_SOURCE_ID,BIGINT 8,A unique identifier of the source system for this record,(Key value),Yes,,,Q1 2021,,,,,,Low,-,No change,
DIM_ANATOMIC_LOCATION,ROW_TO_DTM,TIMESTAMP 10,Date and time EDT record last became active or valid,2017-07-05-15.39.00,Ignore,,,Q1 2020,,,,,,,,,
DIM_ANATOMIC_LOCATION,SOURCE_SYSTEM_KEY,VARCHAR 50,Proprietary key values to original source application,(Key value),No,,,Q1 2020,,,,,,,,,
